Participant,Gender,Age,SpanL1,[Field-1]-alcohol-relatedword1,[Field-1]-alcohol-relatedword2,[Field-1]-alcohol-relatedword3,[Field-1]-arena-relatedword1,[Field-1]-arena-relatedword2,[Field-1]-arena-relatedword3,[Field-1]-casa-relatedword1,[Field-1]-casa-relatedword2,[Field-1]-casa-relatedword3,[Field-1]-deporte-relatedword1,[Field-1]-deporte-relatedword2,[Field-1]-deporte-relatedword3,[Field-1]-doctor-relatedword1,[Field-1]-doctor-relatedword2,[Field-1]-doctor-relatedword3,[Field-1]-lechuga-relatedword1,[Field-1]-lechuga-relatedword2,[Field-1]-lechuga-relatedword3,[Field-1]-escoba-relatedword1,[Field-1]-escoba-relatedword2,[Field-1]-escoba-relatedword3,[Field-1]-foto-relatedword1,[Field-1]-foto-relatedword2,[Field-1]-foto-relatedword3,[Field-1]-descuento-relatedword1,[Field-1]-descuento-relatedword2,[Field-1]-descuento-relatedword3,[Field-1]-medicina-relatedword1,[Field-1]-medicina-relatedword2,[Field-1]-medicina-relatedword3,[Field-1]-reflejo-relatedword1,[Field-1]-reflejo-relatedword2,[Field-1]-reflejo-relatedword3,[Field-1]-soda-relatedword1,[Field-1]-soda-relatedword2,[Field-1]-soda-relatedword3,[Field-1]-verano-relatedword1,[Field-1]-verano-relatedword2,[Field-1]-verano-relatedword3,[Field-1]-volar-relatedword1,[Field-1]-volar-relatedword2,[Field-1]-volar-relatedword3,Forthisquestiontypethewordbananainthethreeboxes.-relatedword1,Forthisquestiontypethewordbananainthethreeboxes.-relatedword2,Forthisquestiontypethewordbananainthethreeboxes.-relatedword3,[Field-1]-head-relatedword1,[Field-1]-head-relatedword2,[Field-1]-head-relatedword3,[Field-1]-bank-relatedword1,[Field-1]-bank-relatedword2,[Field-1]-bank-relatedword3,[Field-1]-hotel-relatedword1,[Field-1]-hotel-relatedword2,[Field-1]-hotel-relatedword3,[Field-1]-car-relatedword1,[Field-1]-car-relatedword2,[Field-1]-car-relatedword3,[Field-1]-clothing-relatedword1,[Field-1]-clothing-relatedword2,[Field-1]-clothing-relatedword3,[Field-1]-exercise-relatedword1,[Field-1]-exercise-relatedword2,[Field-1]-exercise-relatedword3,[Field-1]-food-relatedword1,[Field-1]-food-relatedword2,[Field-1]-food-relatedword3,[Field-1]-drink-relatedword1,[Field-1]-drink-relatedword2,[Field-1]-drink-relatedword3,[Field-1]-injury-relatedword1,[Field-1]-injury-relatedword2,[Field-1]-injury-relatedword3,[Field-1]-mop-relatedword1,[Field-1]-mop-relatedword2,[Field-1]-mop-relatedword3,[Field-1]-plastic-relatedword1,[Field-1]-plastic-relatedword2,[Field-1]-plastic-relatedword3,[Field-1]-to_sleep-relatedword1,[Field-1]-to_sleep-relatedword2,[Field-1]-to_sleep-relatedword3,[Field-1]-tomato-relatedword1,[Field-1]-tomato-relatedword2,[Field-1]-tomato-relatedword3,[Field-1]-hot-relatedword1,[Field-1]-hot-relatedword2,[Field-1]-hot-relatedword3,[Field-1]-sweet-relatedword1,[Field-1]-sweet-relatedword2,[Field-1]-sweet-relatedword3,LangSpoken,Lang_0-5,Lang_6-12,Lang_13-18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country
sp160,Female,19,Yes,Bebida,Cruda,Dolor de cavesa,Mar,Playa,Caracoles,Gardin,Hogar,Familia,Pelota,Partido,equipo,Medico,Dentista,Pildoras,Espinaca,Verduras,Planta,Barrer,Recogedor,polvo,nina,voto,camara,Compras,Dinero,Cosas,Enferma,Pildora,Sabor,Vista,Yo,Tu,Caffe,Agua,Bebida,Sol,Resfrescos,playa,Alas,Pajaros,Maribosas,banana,banana,banana,Pain,Hair,Mind,Money,Checks,Problems,motel,vacation,bathtub,Engine ,Lights,Bumper,Shirt,Pants,Shocks,Pain,Fat,Fit,Burger,Pizza,Nugets,Water,Soda,Alcohol,Medicen,Pain,Doctor,Sweep,Bucket,dirty,Bottle,Cup,Wrap,To wake,Nap,Dark,Squash,Peper,Red,Weather,Cold,Summer,Candy,Love,Diabetes,Spanish and English ,Spanish/ English,Spanish/ English,Spanish / English,Yes,High School,2,No,No,
sp161,Female,21,Yes,bebidas,playa,fiesta,playa,afuera,zapatos,papas,cama,mesa,futbol,pelota,sudor,vacuna,blanco,senor,planta,comer,verde,piedra,sucio,recojer,telefono,camara,digital,dinero,compras,banco,tomar,salud,doctor,espejo,bello,reflexion,agua,tomar,beber,sol,zacate,limonada,avion,pajaro,viento,banana,banana,banana,hair,hat,big,money,men,card,motel,bed,comfort,automobile,drive,license,dress,dirty,pants,sweat,run,gym,eat,banana,munch,water,fresh,mouth,bruise,bandaid,pain,clean,floor,wet,color,water,hard,bed,pillow,rest,fruit,vegetable,red,metal,sun,computer,tart,flavor,candy,"Spanish, English, German",Spanish,Spanish,Spanish,Yes,high school,7,No,Yes,USA all my life
sp162,Male,22,Yes,tequila,vodka,don julio,playa,sol,mar,grande,cama,cocina,futbol,basketball,messi,enfermero,hospital,blanco,verdura,verde,vegetal,piso,limpiar,casa,persona,paisaje,camara,dinero,tienda,ropa,doctor,hospital,enfermo,espejo,cara,maquillaje,bebida,coca,sprite,escuela,vacacciones,sol,avion,mexico,nubes,banana,banana,banana,body,eyes,skull,money,dollars,suit,room,bed,pool,fast,road,seatbelt,shirt,jeans,shoes,gym,workout,pushups,tacos,bread,enchilada,alcohol,beer,tequila,hurt,blood,wheelchair,clean,house,floor,toy,tire,ocean,bed,moon,night,red,vegetable,eat,warm,sun,summer,candy,sugar,soda,"spanish, english",1,2,2,No,,,Yes,Yes,"mexico, 3 months"
sp163,Female,25,Yes,malo,boracho,humo,playa,blanco,agua,hogar,familia,techo,nadar,beisbol,futbol,medicina,enfermera,gripe,saludable,conejo,verde,limpiar,barrer,sucio,memorias,familia,guarder,dinero,salvar,bueno,ayuda,cura,enfermera,cuerpo,cara,espejo,gordo,azucar,bebida,caliente,sol,abanico,aire,cielo,alas,banana,banana,banana,ache,brain,mind,money,deposit,withdrawl,bed,night,service,drive,street,seatbelt,hat,shirt,pants,sweat,glutes,core,hungry,pasta,nutrients,hydration,thirst,cup,pain,emergency,doctor,clean,wet,dry,harm,recycle,container,bed,exhaustion,peace,lettuce,bacon,ketchup,summer,sweat,beach,candy,sugar,tooth,spanish and english,spanish,spanish,spanish,No,,,No,No,
sp164,Female,22,Yes,drink,party,friends,football,sports,stadium ,escuala,edeficio ,comer,pelota,correr,futbol,enfermera,medicina,hospital ,ensalada,hamburguesa,ranch ,barier,trabajo,trapiar,camara,lente,destrello,tienda,dinero,coupon,doctor,hospital,enfermera,espejo,mirar,agua,drink,pop,coke,escuela,sol,playa,pajaro,avion,cielo,banana,banana,banana,ball,tall,ears,account,savings,checking,motel,travel,trivago,truck,semi,van,thrifting,new,shopping ,cardio,sports,medicine,fast,dinner,lunch ,alcohol,soda,water,danger,nurse,doctor,sweep,broom ,chores,glass,metal,paper,insomnia,hard,trouble ,potato,soup,sandwhich ,summer,sun,tan,bitter,sour,savory ,"English, Spanish ","English, Spanish ","English, Spanish ","English, Spanish ",Yes,high scool,4-Aug,No,No,
sp165,Male,22,Yes,gin,tonic,whiskey,sports,It's Always Sunny In Philadelphia ,Eagles (team),escuela,mama,puerta,futbol,chivas,tigres,scary,apples,white coat,tomate,cuchillo,ensalada,Abuela,vieja,sucia,parque,camera,filme,ROSS,calle,mercado,Amoxicilina,taza,pildora,espejo,sepilla,lavabo,chips,gas station,bubbly,playa,agua,sabado,avion,American Airlines,equipaje,banana,banana,banana,shoulder,knees,toes,big,untrustworthy,money,foreign,cold,unfamiliar,seatbelt,driving,machine,shirt,pants,undies,exercise ball,yoga,treadmill,burger,chips,fries,water,cup,glass,wound,maim,head,broom,swiffer,bucket,waste,trash,depressing,bedtime,sleepy,cozy,lettuce,knife,BLT,summer,spicy,sunscreen,salty,umami,savory,English and Spanish,Spanish + English,English + Spanish,English + Spanish,Yes,"elementary, middle and high school","24 semesters/ (2 semesters per year until graduation, 12 grades)",Yes,No,
sp166,Male,22,Yes,cervesa,tequila,fiesta,playa,jugar,verano,apartamento,duedas,familia,futbol,mundial,fiesta,hospital,medico,enfermera,ensalada,brocoli,coliflor,limpiar,barrer,piso,camara,recuerdos,video,dinera,ahorros,tienda,hospital,doctor,enfermo,espejo,lago,meditacion,bebida,limonada,pepsi,calor,playa,vacaciones,avion,cielo,superheroe,banana,banana,banana,legs,arms,stomach,money,check,deposit,vacation,overnight stay,travel,insurance,license,truck,jacket,flannel,jeans,gym,running,sports,salads,hamburger,tacos,alcohol,soda,juice,fracture,sprain,heal,broom,cleaning,floor,recycle,glass,cans,bed,rest,pillow,brocoli,lettuce,ketchup,summer,sweat,air conditioner,candy,sour,kind,English and Spanish,Spanish,Spanish,Spanish and English,Yes,When I started going to school,17 (regular school classes),No,No,
sp167,Female,25,Yes,tequila,mezcal,cerveza,mar,tierra,roca,choza,edificio,apartamento,futbol,beisbol,tenis,enfermera,cardiologo,pediatrico,repollo,espinaca,verdura,limpiar,trabajo,sucio,espejo,reflexion,panorama,barato,rebaja,menos dinero,hierbas,medicamentos,pastillas,espejo,reflexion,foto,coca,jarritos,agua mineral,caliente,humeda,sudor,pajaro,avion,cielo,banana,banana,banana,body part,brain,skull,money,transcations,withdrawal,housing,room,travel,road,toyota,wheels,pants,dress,shoes,weight lifting,running,swimming,chow mein,tacos,quesdillas,coke,water,fruit juice,hurt,wound,cut,dirty,floor,cleaning,bottles,tubs,wrapping,pajamas,bed,blanket,fruit,plant,juicy,stove,summer,oven,bread,cake,cookies,"Spanish, English",Spanish,Spanish,Spanish,Yes,Elementary to college,My whole life.,No,No,
sp168,Female,28,Yes,ebrio ,borracho,cerveza,playa,jugar,niños,hogar,familia,limpieza,futbol,pelota,jugar,clinica,hospital,enfermedad,verde,verdura,saludable,recogedor,trapeador,limpiar,camara,imagen ,sonreir,ahorrar,dinero,porcentaje,doctor,farmacia,pastillas,espejo,mirar,ojos,bebida,coca,refresco,calor,playa,helado,avion,pajaro,cielo,banana,banana,banana,shoulders,knees,toes,money,transfer,card,room,bed,dirty,truck,drive,insurance,store,wear,shopping,gym,sweat,water,delicious,pizza,cheese,soda,water,tea,arm,doctor,hospital,bucket,water,clean,bottle,container,waste,bed,eyes,blanket,lettuce,salad,cruton ,cold,tea,coffee,candy,sugar,cavaties,"English, Spanish",Spanish,"Spanish, English","Spanish, English",Yes,high school,4,Yes,No,
sp169,Female,22,Yes,borracho,beber,fiesta,playa,sol,cangrejo,hogar,familia,techo,futbol,correr,pelota,enfermera,medicina,hospital,saludable,verde,agua,barrir,limpiar,polvo,camara,album,tripod,oferta,reducir,cupon,doctor,prescripcion,pastillas,espejo,agua,claro,azucar,carbonato,refresco,sol,calor,playa,avion,pajaro,viento,banana,banana,banana,shoulders,knees,toes,teller,money,line,california,trivago,room,engine,gas,wheel,shirt,pants,jacket,workout,cardio,calisthenics,pizza,pasta,salad,soda,water,juice,cut,hurt,hospital,clean,water,wood,forks,bags,spoons,go,try,went,red,vegetables,lettuce,summer,temperature,girl summer,Caroline,potatoes,dreams,English and Spanish,2,2,2,No,,,Yes,Yes,US and 3/4 of my life
sp170,Female,19,Yes,cerveza,sangria,alcoholico,mar,playa,tortuga,hogar,familia,comida,futbol ,escuela,seleccion mexicana,hospital,medicina,consultorio,ensalada,pepino,verde,cocina,limpiar,trapeador,camara,cellular,fiestas,compras,ropa,dinero,doctor,farmacia,prescripcion,espejo,bano,maquillaje,tacos,bebida,coca cola,playa,mariscos,descanso,pajaro,avion,cielo,banana,banana,banana,body,eyes,mouth,money,account,finance,vacation,travel,beach,transport,gas,money,stores,mall,money,gym,fit,body,hungry,house,restaurants,soda,beer,coffee,sport,fall,doctor,clean,wet,kitchen,beach,recycle,bad,night,tired,bed,vegetable,healthy,salad,summer,sun,sweat,food,sour,taste,English and Spanish,Spanish,English,English,Yes,High School ,2,Yes,Yes,"The U.S., I live there."
sp171,Female,28,Yes,fiesta,tequila,whiskey,seats,playa,concha,grass,baño,patio ,soccer,pelota,partido ,illness,consultorio ,hospital,repollo,pozole,sandwich ,tierra,sucio ,mop ,camera ,Polaroid ,smile,venta ,tienda,ropa ,malo,doctor,cuchara,espejo,cara ,ojos ,Coca Cola,mountain dew,pepsi ,pelota,playa,caliente ,pajaro,avion ,eagle ,banana,banana,banana,eyes,mouth ,body,money,atm,deposit ,suitcase,money,reservation,truck,freeway,wheels,string,shirt,dress,tired,treadmill ,mile,sandwich,hamburger,pizza,coca cola,soda,pepsi,scrape,knee,cast,clean,broom,kitchen,fork,spoon,littering ,bed,melatonin,eye mask ,red,stem,garden,water,sun,desert,strawberry,candy,delicious ,"Spanish, English",Spanish,Spanish/English,Spanish/English,Yes,High School,2,No,No,
sp172,Female,29,Yes,alcol,espiritas,divertida,estadio,deportes,pelota,familia,segura,calida,arena,estadio,divertida,enfermera,la nodriza,sana,ensalada,verde,verdugas,limpia,escubir,retama,yo,uno mismo,familia,rebaja,deduccion,menos,enfermeria,hospicio,sana,espejo,uno mismo,yo,burbujas,el pepsi,jabon,calor,el sol,estacion,huir,volando,salir,banana,banana,banana,body,cephalic,anatomy,money,wealth,security,vacation,travel,hospitality,travel,vehicle,drive,garments,clothes,to wear,sweat,work out,movement,drink,meal,eat,soda,food,liquid,hurt,hospital,pain,clean,broom,house,waste,home,environment,dream,bed,rest,vegetable,fruit,plant,warm,fire,sun,taste,sweets,sugar,Spanish and English,2,2,2,Yes,Elementary to college,4,Yes,No,
sp173,Female,22,Yes,tequila,fiesta,antro,juego,futbol,evento,cama,perro,mama,futbol,chavos,correr,medicina,clinica,enfermo,panini,jamon,sandwhich,limpiar,barrer,trapiar,sonria,zapatos,viaje,venta,ropa,tienda,enfermo,cansado,resfrio,pensar,triste,mente,coca cola,seth,orinar,calor,sol,alberca,tiempo,viaje,vacationes,banana,banana,banana,hair,shampoo,thought,money,savings,rich,car,trip,city,trip,wheel,seat,feet,body,store,run,walk,bike,pizza,pasta,hamburger,soda,thirsty,hot,pain,hospital,time,sweep,clean,head,ocean,bottle,waste,bed,rest,night,banana,spinach,food,spicy,wings,chips,candy,cake,cupcake,2,Spanish/english,Spanish/english,spanish/english,Yes,Highschool and college,15,Yes,Yes,"America, 22 years"
sp174,Male,22,Yes,party,bars,wasted,battle,game,gladiators,cama,comida,familia,futbol,jugador,calor,nurse,hospital,medicine,ensalada,tomate,ranch,limpiando,basura,suelo,camera,amigos,familia,barrato,ropa,comprando,doctor,hospital,dolor,espejo,vestir,luz,drink,chips,party,calor,bebidas,caminando,aeropuerto,avion,pajaro,banana,banana,banana,shoulders,knees,toes,money,withdraw,deposit,bed,vacation,air conditioner,driving,music,wind,hanger,closet,shoes,tired,sweating,muscles,yummy,delicious,drink,soda,beverage,food,pain,medicine,bandage,cleaning,chores,broom,reuseable,water bottle,pollution,bed,pillow,darkness,pizza,ketchup,salad,cold,sweating,shorts,salty,sour,candy,"English, Spanish",Spanish/English,English/Spanish,English/Spanish,Yes,Highschool and College,1 semester every 2 years,Yes,No,
sp175,Female,35,Yes,borracho,cerveza,botella,playa,oceano,conchas,puerta,ventana,llave,futbol,juego,estadio,vacuna,enfermera,hospital,ensalada,tomate,cebolla,trapiadora,jabon,cubo,camara,pose,maquillaje,venta,ahorros,cupon,doctor,temperatura,vacuna,espejo,cepillo de pelo,vidrio,coca,botella,hielo,caliente,playa,helados,avion,pajaro,pasajero,banana,banana,banana,hair,brush,headache,money,deposit,debt,room,bed,key card,insurance,license,crash,closet,hangars,drawer,thirsty,strong,fast,pizza,hamburger,fries,alcohol,glass,ice,bandaid,scrape,blood,broom,pail,water,hard,breakable,bendable,bed,dream,rest,lettuce,salad,onion,summer,tan,sunburn,roll,sour,juicy,"english, spanish",spanish,"english, spanish","english, spanish",No,,,Yes,No,
