Participant,Gender,Age,SpanL1,[Field-1]-agua-relatedword1,[Field-1]-agua-relatedword2,[Field-1]-agua-relatedword3,[Field-1]-banco-relatedword1,[Field-1]-banco-relatedword2,[Field-1]-banco-relatedword3,[Field-1]-carro-relatedword1,[Field-1]-carro-relatedword2,[Field-1]-carro-relatedword3,[Field-1]-comida-relatedword1,[Field-1]-comida-relatedword2,[Field-1]-comida-relatedword3,[Field-1]-hotel-relatedword1,[Field-1]-hotel-relatedword2,[Field-1]-hotel-relatedword3,[Field-1]-dormir-relatedword1,[Field-1]-dormir-relatedword2,[Field-1]-dormir-relatedword3,[Field-1]-ejercicio-relatedword1,[Field-1]-ejercicio-relatedword2,[Field-1]-ejercicio-relatedword3,[Field-1]-futbol-relatedword1,[Field-1]-futbol-relatedword2,[Field-1]-futbol-relatedword3,[Field-1]-hospital-relatedword1,[Field-1]-hospital-relatedword2,[Field-1]-hospital-relatedword3,[Field-1]-dulce-relatedword1,[Field-1]-dulce-relatedword2,[Field-1]-dulce-relatedword3,[Field-1]-mujer-relatedword1,[Field-1]-mujer-relatedword2,[Field-1]-mujer-relatedword3,[Field-1]-ropa-relatedword1,[Field-1]-ropa-relatedword2,[Field-1]-ropa-relatedword3,[Field-1]-sucio-relatedword1,[Field-1]-sucio-relatedword2,[Field-1]-sucio-relatedword3,[Field-1]-viaje-relatedword1,[Field-1]-viaje-relatedword2,[Field-1]-viaje-relatedword3,Forthisquestiontypethewordbananainthethreeboxes.-relatedword1,Forthisquestiontypethewordbananainthethreeboxes.-relatedword2,Forthisquestiontypethewordbananainthethreeboxes.-relatedword3,[Field-1]-alcohol-relatedword1,[Field-1]-alcohol-relatedword2,[Field-1]-alcohol-relatedword3,[Field-1]-art-relatedword1,[Field-1]-art-relatedword2,[Field-1]-art-relatedword3,[Field-1]-broom-relatedword1,[Field-1]-broom-relatedword2,[Field-1]-broom-relatedword3,[Field-1]-doctor-relatedword1,[Field-1]-doctor-relatedword2,[Field-1]-doctor-relatedword3,[Field-1]-apartment-relatedword1,[Field-1]-apartment-relatedword2,[Field-1]-apartment-relatedword3,[Field-1]-fun-relatedword1,[Field-1]-fun-relatedword2,[Field-1]-fun-relatedword3,[Field-1]-garbage-relatedword1,[Field-1]-garbage-relatedword2,[Field-1]-garbage-relatedword3,[Field-1]-grocery-relatedword1,[Field-1]-grocery-relatedword2,[Field-1]-grocery-relatedword3,[Field-1]-wet-relatedword1,[Field-1]-wet-relatedword2,[Field-1]-wet-relatedword3,[Field-1]-beef-relatedword1,[Field-1]-beef-relatedword2,[Field-1]-beef-relatedword3,[Field-1]-sand-relatedword1,[Field-1]-sand-relatedword2,[Field-1]-sand-relatedword3,[Field-1]-reflection-relatedword1,[Field-1]-reflection-relatedword2,[Field-1]-reflection-relatedword3,[Field-1]-sport-relatedword1,[Field-1]-sport-relatedword2,[Field-1]-sport-relatedword3,[Field-1]-to_fly-relatedword1,[Field-1]-to_fly-relatedword2,[Field-1]-to_fly-relatedword3,[Field-1]-to_hurt-relatedword1,[Field-1]-to_hurt-relatedword2,[Field-1]-to_hurt-relatedword3,[Field-1]-winter-relatedword1,[Field-1]-winter-relatedword2,[Field-1]-winter-relatedword3,LangSpoken,Lang_0-5,Lang_6-12,Lang_13-18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country
sp111,Female,34,Yes,Vida,Hielo,Bebe,Dinero,Deposito,Retiro,Coche,Auto,Movil,Huevos,Arroz,Frijoles,Restarante,Piscina,Servicio de cuarto,Noche,Casa,Cama,Gymnasio,Pesos,Caminar,Pelota,Cancha,Gramilla,Doctor,Medicine,Infermera,Chocolate,Confete,Helados,Hombre,Inteligente,Hermosa,Camiseta,Vestimenta,Pantalone,Disorden,Dusgusto,Malolente,Maleta,Avion,Barco,Banana,Banana,Banana,Beer,Whiskey,Vodka,Painting,Museum,Sculpture,Cleaning,Dirty,Mop,Nurse,Medicine,Appointment,Condo,Building,Studio,Friends,Outdoor,BBQ,Trash,Waste,Junk,Food,Toilet paper,Eggs,Water,Slippery,Rain,Steak,Burger,Jerky,Beach,Playground,River,Mirror,Lake,Glass,Golf,Baseball,Soccer,Airplane,Bird,Bee,Destroy,Aggravate,Punish,Snow,Cold,Ice,"Spanish, English",Spanish,Spanish,Spanish,Yes,High school,4,Yes,Yes,USA. 4 years
sp112,Female,19,Yes,lago,pes,fresca,dinero,efectivo, domingo, ruedas,calle, velocidad,comer,sostenimiento,bocadillo,vacación,cama,cuarto,noche, almohada,cama, actividad,trabajo,física,americano,pelota,deporte,medicina,pacientes, enfermedad,caramelo,azúcar,bombón,hombre,niña,humano,camisa,traje,vestido,limpio,limpiar,cochino,vacación,playa,verano,banana,banana,banana,beer,wine,liquor,painting,music,forms,vaccuum,cleaning,dust,medicine,hospital,healing,city,home,square,excitement,adrenaline,smile,trash,bin,dirty,food,shopping,store,moist,water,dewy,food,meat,cow,beach,grainy,sediment,mirror,metallic,duplicity,soccer,football,tennis,plane,bird,sky,pain,aching,pierce,cold,season,snow,english and spanish,2,2,2,No,,,Yes,Yes,I live in an English speaking country
sp113,Female,24,Yes,tomar,fresca,fria,dinero,cajera,salvar,dinero,gasolina,rojo,arroz,carne,pollo,viaje,dormir,cansado,mucho,cansado,tarde,cansada,correr,caminar,aburrido,comida,gente,enfermo,muerte,medicina,chocolate,paleta,pastel,bonita,buena,mama,carra,pantalones,tienda,limpiar,barrer,trapiar,autobus,largo,carretera,banana,banana,banana,drink,wasted,night,draw,paint,sculpt ,sweep,witch,long,sick,nurse,check up,building,complex,people,play,watch,read,can,man,collect,bags,food,shopping,cold,soaked,clean,cow,meat,tacos,beach,castle,crabs,mirror,you,look,basketball,soccer,football,soar,high,up,bleed,cut,fall,cold,snow,ice,spanish and english,spanish,spanish and english,both,No,,,No,No,
sp114,Female,21,Yes,beber,botella,clara,dinero,cajera,prestamo,coche,rojo,rapido,restaurante,dinero,familia,viaje,visita,boleto,sueno,cama,almohada,gimnasio,correr,zapatos,deportes,pelota,correr,vacuna,enfermo,tos,chocolate,caramelo,golosina,mama,femenina,rosa,anillo,pulsera,collar,germenes,bacterias,manchado,avion,ropa,zapatos,banana,banana,banana,beer,party ,friends,painting ,drawing,makeup ,cleaning ,dirt,supplies,hospital,sick,endoscopy ,house,money ,view,jumping ,exercise,reading ,dumpster ,paper,recycle,shopping,vegetable,food,rain ,water,ocean ,meat,food,dining ,beach ,ocean ,crabs,mirror,meditation ,impression ,soccer,football,golf,airplane,swing,parachute,sad,emotions,crying,season ,cold,snowman ,"spanish, english, french ",spanish,"english, spanish","spanish, english, french",Yes,elementary school,12,Yes,Yes,United States
sp115,Male,25,Yes,botella,mar,lluvia,dinero,estafa,edificio,rojo,ferrari,lujo,hamburgesa,hambre,delicioso,piscina,dormitorio,comida,cama,sueno,descansar,pesas,sudor,cansansio,pelota,copa mundial,messi,enfermos,muertes,doctores,chocolate,gomas,cavidad,bella,madre,esposa,camiseta,pantalon,ropa de marca,soquete,pantalon,banera,relajar,playa,dinero,banana,banana,banana,drunk,sober,bar,elegant,expensive,unique,clean,sweep,witch,apple,white coat,sick,apartment building,costly,rowdy ,happy,enjoyable,smile,trash can,crumbled paper,smelly,fruit,vegetables,grocery bag,soggy,moist,humid,cow,meat,juicy,glass,beach,scratchy,mirror,doubt,gloomy,soccer,football,basketball,bird,high spirit,gloomy,harmful,burn,paper cut,cold,snow,white,English and Spanish,English and Spanish,English and Spanish,English and Spanish,Yes,"Elementary, middle school, high school, college",12,No,No,
sp116,Male,20,Yes,sed,refrescante,rica,silla,chiquito,grande,rapido,chiquito,electrico,carne,pollo,rica,cama,casa,satisfactorio,cansado,sueños,descansar,caliente,cansado,pesado,pies,cancha,portero ,doctor,enfermera,medicina,caramelo,chocolate,canela,dama,bonita,cariñosa,pantalones,camisa,blousa,cochino,basura,baño,de lujo,barato,paradiso,banana,banana,banana,bad,harmful,uncanny,pretty,amazing,interesting,clean,useful,helpful,kind,caring,helpful,house,comfortable,small,relaxing,play,outdoors,trash,bin,disgusting,carrots,apples,avocados,water,surface,unexpected,meat,steak,tbone,fun,grainy,hot,mirror,similar,different,soccer,basketball,football,fun,interesting,awesome,harm,unmoral,unethical,cold,freezing,fun,"English, Spanish",1,1,1,Yes,Elementary ,1,Yes,Yes,"United States, I live here now"
sp117,Female,19,Yes,Rio,Lago,piscina,Dinero,Préstamo,Depósito,Viaje,Automovil,Carretera,Desayuno,Postre,Enchiladas,Cuarto,Cama,Elevador,Cansado,Cama,Almohada,Sudor,Metal,Pesas,Pelota,Pasto,Equipo,Doctora,Enfermera,Enfermedad,Chocolate,Pegostioso,Pastel,Belleza,Niña,Valiente,Blusa,Vestido,Camisa,Lodo,Tierra,Sangre,Carro,Carretera,Diversión,banana,banana,banana,Wine,Drunk,Drink,Paint,Draw,Skill,Mop,Clean,Floor,Nurse,Hospital,School,Rent,Building,Neighbor,Trip,Dance,Music,Trash,Waste,Bin,Store,Vegetable,Food,Cold,Damp,Water,Meat,Meal,Food,Beach,Water,Ocean,Mirror,Glass,Face,Soccer,Ball,Team,Soar,Sky,Jump,Pain,Regret,Mean,Cold,Snow,Chill,"Spanish, english","Spanish, english","Spanish, english","Spanish, english",Yes,"Elementary, middle and high school",10 years,Yes,Yes,USA
sp118,Female,21,Yes,beber,leche,soda,dinero,pagar,persona,coche,dinero,azul,platano,manzana,pescado,cuarto,dinero,cama,cama,sueno,roncando,nadar,futbol,cansado,basketbol,futbol americano,correr,rojo,medicina,doctora,pan,agua,beber,persona,hombre,nino,camisa,calcetas,nadar,dinero,limpia,fabuloso,viejo,nina,abuelo,banana,banana,banana,drink,shots,tequilla,paint,color,tie dye,sweep,mop,witch,medicine,shots,vaccine,house,family,men,boring,cake,present,throw,smelly,raccoon,sweet,sour,classes,swim,sweat,shower,roast,ham,chicken,beach,sea,otter,disney,mirror,women,volleyball,soccer,basketball,plane,fruit,apple,men,women,kid,summer,snow,denver,english,spanish,english,english,No,,,Yes,No,
sp119,Male,21,Yes,Frío,caliente,Tibia,Dinero,seguridad,Tarjeta,llantas,Sillas,Gasolinera,Hambre,Enchiladas,Delicioso,Bonita,Cama,Alberca,Sueño,Cama,Cobija,correr,Peso,afuera,balón,Americano,Messi,Clínica,doctor,enfermera,Chocolate,Chamoy,Azúcar,Hombre,Niña,Niño,Sucia,Pantalón,Camisa,cochino,Trastes,limpiar,Avión,Miami,Verano,banana,banana,banana,Beer,Wine,Tequila,Watercolor,Graffiti ,Dancing,Sweep,Dust pan,Mop,Nurse ,Hospital ,Medical,Hotel,Small,Private,Outgoing,Exciting,Stimulating ,Trash,Dump,My ex,Food,Store,Essential ,Moist,Water,Soaked,Meat,Beyond,Chicken,Dirt,Beach ,Shells,Mirror,Self,Glass ,Soccer,Football,Baseball,Soar,Fall,Glide,Harm,Murder,Tickle,Summer,Cold,Snow,"English, spanish, french",Spanish,Spanish,Spanish,Yes,Middle school,7 years,No,Yes,The US and Canada 
sp120,Female,19,Yes,Refrescante ,Bolsa,Fresca,Dinero,Interes,Deuda ,Auto,Coche,Asiento ,Arroz,Carne ,Frijoles,Cama,Desayuno,Caro,Cama,Cuarto,Cobija ,Correr,Caminar,Sudar,Televisión ,Aburrido ,Messi ,Doctora,Enfermero ,Laboratorio ,Chocolate,Dulce de leche ,Alfajor,Mama,Abuela,Tia,Vestido ,Camisa,Falda,Barrer,Limpiar,Trapear ,Avion,Maleta,Tren ,Banana,Banana,Banana,Bad,Cirrhosis ,Gout,Da Vinci ,Picasso,OKeefe,Clean,Mop,Dirt,Nurse,Medicine ,Meds,Small,Expensive,Claustrophobic ,Switch ,Scrabble ,Phone ,Can,Collector,Smelly,Shopping,Chips ,Store,Water,Uncomfortable,Sweat,Stroganoff ,Meatball,Tacos,Beach,Ocean,Castle ,Mirror ,Mulan ,Self,Soccer,Football,Golf ,Airplane ,Pilot,Stewardness,Bandaid,Nurse,Blood,Snowflake,White,Icy blue,Spanish + English ,Spanish,"Spanish, English ","Spanish, English ",No,,,Yes,Yes,USA whole life
sp121,Female,26,Yes,fresco,claro,bebida,dinero,gente,puertas,coche,viaje,puertas,refrescos,caldos,carne,invitacion,puertas,camas,cama,cobija,almohada,gymnasio,ropa,zapatos,jugadores,gol,equipo,enfermos,enfermeras,doctores,mazapan,pinata,ninos,cabello,madre,bonita,camisa,pantalones,ropa interior,tierra,manchadas,basura,vacaciones,avion,feliz,banana,banana,banana,hard seltzers,liquor ,beer,paintings,museums,drawings,sweeping,mop,cleaning,helpful,patient,hospital,place,condo,small,vacation,friends,beach,trash,dumpster,gross,food,people,building,rain,soaked,drenched,meat,cow,tasty,sandbox,beach,kids,mirror,meditation,peace,basketball,soccer,football,free,airplane,bird,pain,sad,upset,cold,dark,icy,Spanish and English,Spanish,Spanish,Spanish,No,,,Yes,No,
sp122,Male,31,Yes,Beber,Limpiar,Bañar,Dinero,Banquero,Prestamo,Trabajo,Viaje,Carcacha,Sostener,Familia,Lleno,Viaje,Trabajo,Conferencia,Sueño,Cama,Recuperar,Trabajar,Esforzar,Sudar ,Pelota,Estadio ,Passion,Enfermera,Doctor,Dinero,Rico,Sabroso,Dentista,Señora,Esposa,Persona,Salir,Vestido,Lujo,Limpiar,Recoger,Tirar,Lejos,Manejar ,Empacar,Banana,Banana,Banana,Drink,Party,Brew,Paint,Sculpture,Draw,Sweep,Clean,Company,Pain,Money,Hospital,Home,Temporary,Small,Trip,Games,Laugh,Disgusting,Trash,Plastic,Food,Store,Supplies,Shower,Pool,Rain,Food,Eat,Animal,Course,Rough,Everywhere,Water,Mirror,Glass,Soccer,Stadium,Games,Plane,Birds,Air,Pain,Suffering,Unhappy,Cold,Snow,Coco,"English, Spanish","Spanish, English","Spanish, English","Spanish, English",No,,,Yes,No,
sp123,Female,26,Yes,tomar,vaso,mar,dinero,prestamos,lineas,vehicolo ,trabajo,gas,comer,cena,cocina,hotelero,cuarto,viaje,sueno,cobijas,roncar,mover,pesos,sudar,esporte,bola,equipo,enfermo,sufriendo,medicina,miel,chocolate,gustos,amor,bonita,hija,brusa,pantalon,calson,asco,puerco,cochino,viajando ,pais,volar,banana,banana,banana,enough,gross,dance,paint,draw,love,witch,clean,sneaky,nurse,hospital,gloves,dreaming,home,new,joy,spontaneous ,cool,dirty,used,trash,food,annoying,lines,funny,water,joke,meat,jerky,nice,paper,beach,clip,mirror,self,hard,football,fun,soccer,flies,excited,traveling,why,same,ouch,land,summer,snooze,"spanish, english",spanish,spanish/english,spanish/english,Yes,"elementary, middle/high school, college, university",20 yrs,Yes,Yes,"united states, 26 years"
sp124,Female,21,Yes,tomar,bebida,botella,dinero,débito ,crédito,automóvil,vehículo,transporte ,bebida,carne,arroz,motel,alberca,recepcionista ,sueño,descansar,soñar,sudor,correr,brincar,pelota,uniforme,jugador,enfermedad,enfermeras,doctores,azúcar ,paleta,chocolate,femenina,señora,niña,camisa,pantalones,suéter ,mugre,cerdo,cochino,paisaje ,aventura,vacaciones ,fruit,yellow,potassium,addiction,drink,intoxication,beauty ,crayons,colors,mop,cleaning,duster,heal,nurses,vaccines,motel,hotel,holiday inn,playing,happy,joy ,disposal,stinky,bag,shopping,food,vegetables,water,ocean,river,cow,ramen,meat,castle,beach,sun,oneself,conscience,beauty,sweat,ball,exercise,free,air,bird,vengeance ,evil,villain,cold,snowflakes,snow,"english, spanish ",spanish,spanish,spanish & english,Yes,high school and college,11 years,No,No,
